Source,Target,UniprotKB ACC,PATRIC ID
fig|223283.9.peg.5022,PSPTO_4909,,fig|223283.9.peg.5022
fig|223283.9.peg.5023,PSPTO_4910,,fig|223283.9.peg.5023
fig|223283.9.peg.5024,PSPTO_4911,,fig|223283.9.peg.5024
fig|223283.9.peg.5026,PSPTO_4913,,fig|223283.9.peg.5026
fig|223283.9.peg.5034,PSPTO_4921,,fig|223283.9.peg.5034
fig|223283.9.peg.5035,PSPTO_4922,,fig|223283.9.peg.5035
fig|223283.9.peg.5044,PSPTO_4930,,fig|223283.9.peg.5044
fig|223283.9.peg.5046,PSPTO_4932,,fig|223283.9.peg.5046
fig|223283.9.peg.5047,PSPTO_4933,,fig|223283.9.peg.5047
fig|223283.9.peg.5051,PSPTO_4937,,fig|223283.9.peg.5051
fig|223283.9.peg.5052,PSPTO_4938,,fig|223283.9.peg.5052
fig|223283.9.peg.5059,PSPTO_4945,,fig|223283.9.peg.5059
fig|223283.9.peg.5069,PSPTO_4955,,fig|223283.9.peg.5069
fig|223283.9.peg.507,PSPTO_0490,,fig|223283.9.peg.507
fig|223283.9.peg.5071,PSPTO_4957,,fig|223283.9.peg.5071
fig|223283.9.peg.5080,PSPTO_4965,,fig|223283.9.peg.5080
fig|223283.9.peg.511,PSPTO_0494,,fig|223283.9.peg.511
fig|223283.9.peg.5117,PSPTO_5001,,fig|223283.9.peg.5117
fig|223283.9.peg.5119,PSPTO_5003,,fig|223283.9.peg.5119
fig|223283.9.peg.512,PSPTO_0495,,fig|223283.9.peg.512
fig|223283.9.peg.5123,PSPTO_5005,,fig|223283.9.peg.5123
fig|223283.9.peg.5124,PSPTO_5006,,fig|223283.9.peg.5124
fig|223283.9.peg.5136,PSPTO_5016,,fig|223283.9.peg.5136
fig|223283.9.peg.5137,PSPTO_5017,,fig|223283.9.peg.5137
fig|223283.9.peg.5154,PSPTO_5035,,fig|223283.9.peg.5154
fig|223283.9.peg.5159,PSPTO_5040,,fig|223283.9.peg.5159
fig|223283.9.peg.5166,PSPTO_5047,,fig|223283.9.peg.5166
fig|223283.9.peg.5169,PSPTO_5049,,fig|223283.9.peg.5169
fig|223283.9.peg.5178,PSPTO_5057,,fig|223283.9.peg.5178
fig|223283.9.peg.5190,PSPTO_5068,,fig|223283.9.peg.5190
fig|223283.9.peg.5191,PSPTO_5069,,fig|223283.9.peg.5191
fig|223283.9.peg.5200,PSPTO_5079,,fig|223283.9.peg.5200
fig|223283.9.peg.5201,PSPTO_5080,,fig|223283.9.peg.5201
fig|223283.9.peg.5202,PSPTO_5081,,fig|223283.9.peg.5202
fig|223283.9.peg.5204,PSPTO_5083,,fig|223283.9.peg.5204
fig|223283.9.peg.5205,PSPTO_5084,,fig|223283.9.peg.5205
fig|223283.9.peg.5206,PSPTO_5085,,fig|223283.9.peg.5206
fig|223283.9.peg.5208,PSPTO_5087,,fig|223283.9.peg.5208
fig|223283.9.peg.5239,PSPTO_5118,,fig|223283.9.peg.5239
fig|223283.9.peg.5242,PSPTO_5121,,fig|223283.9.peg.5242
fig|223283.9.peg.5243,PSPTO_5123,,fig|223283.9.peg.5243
fig|223283.9.peg.5245,PSPTO_5126,,fig|223283.9.peg.5245
fig|223283.9.peg.5246,PSPTO_5127,,fig|223283.9.peg.5246
fig|223283.9.peg.5252,PSPTO_5133,,fig|223283.9.peg.5252
fig|223283.9.peg.5254,PSPTO_5134,,fig|223283.9.peg.5254
fig|223283.9.peg.5256,PSPTO_5136,,fig|223283.9.peg.5256
fig|223283.9.peg.5257,PSPTO_5137,,fig|223283.9.peg.5257
fig|223283.9.peg.5258,PSPTO_5138,,fig|223283.9.peg.5258
fig|223283.9.peg.5274,PSPTO_5153,,fig|223283.9.peg.5274
fig|223283.9.peg.5275,PSPTO_5154,,fig|223283.9.peg.5275
fig|223283.9.peg.5286,PSPTO_5165,,fig|223283.9.peg.5286
fig|223283.9.peg.5289,PSPTO_5168,,fig|223283.9.peg.5289
fig|223283.9.peg.5292,PSPTO_5171,,fig|223283.9.peg.5292
fig|223283.9.peg.5295,PSPTO_5174,,fig|223283.9.peg.5295
fig|223283.9.peg.5299,PSPTO_5178,,fig|223283.9.peg.5299
fig|223283.9.peg.5308,PSPTO_5187,,fig|223283.9.peg.5308
fig|223283.9.peg.5310,PSPTO_5189,,fig|223283.9.peg.5310
fig|223283.9.peg.5337,PSPTO_5216,,fig|223283.9.peg.5337
fig|223283.9.peg.5341,PSPTO_5219,,fig|223283.9.peg.5341
fig|223283.9.peg.5363,PSPTO_5241,,fig|223283.9.peg.5363
fig|223283.9.peg.5370,PSPTO_5248,,fig|223283.9.peg.5370
fig|223283.9.peg.5374,PSPTO_5251,,fig|223283.9.peg.5374
fig|223283.9.peg.5383,PSPTO_5260,,fig|223283.9.peg.5383
fig|223283.9.peg.5384,PSPTO_5261,,fig|223283.9.peg.5384
fig|223283.9.peg.5389,PSPTO_5266,,fig|223283.9.peg.5389
fig|223283.9.peg.5394,PSPTO_5270,,fig|223283.9.peg.5394
fig|223283.9.peg.5398,PSPTO_5274,,fig|223283.9.peg.5398
fig|223283.9.peg.5399,PSPTO_5275,,fig|223283.9.peg.5399
fig|223283.9.peg.5401,PSPTO_5277,,fig|223283.9.peg.5401
fig|223283.9.peg.5402,PSPTO_5278,,fig|223283.9.peg.5402
fig|223283.9.peg.5403,PSPTO_5279,,fig|223283.9.peg.5403
fig|223283.9.peg.5412,PSPTO_5286,,fig|223283.9.peg.5412
fig|223283.9.peg.5414,PSPTO_5288,,fig|223283.9.peg.5414
fig|223283.9.peg.5420,PSPTO_5294,,fig|223283.9.peg.5420
fig|223283.9.peg.5425,PSPTO_5299,,fig|223283.9.peg.5425
fig|223283.9.peg.5427,PSPTO_5301,,fig|223283.9.peg.5427
fig|223283.9.peg.5428,PSPTO_5302,,fig|223283.9.peg.5428
fig|223283.9.peg.5429,PSPTO_5303,,fig|223283.9.peg.5429
fig|223283.9.peg.5435,PSPTO_5308,,fig|223283.9.peg.5435
fig|223283.9.peg.5454,PSPTO_5327,,fig|223283.9.peg.5454
fig|223283.9.peg.5461,PSPTO_5334,,fig|223283.9.peg.5461
fig|223283.9.peg.5462,PSPTO_5335,,fig|223283.9.peg.5462
fig|223283.9.peg.5465,PSPTO_5338,,fig|223283.9.peg.5465
fig|223283.9.peg.5466,PSPTO_5339,,fig|223283.9.peg.5466
fig|223283.9.peg.547,PSPTO_0537,,fig|223283.9.peg.547
fig|223283.9.peg.5483,PSPTO_5356,,fig|223283.9.peg.5483
fig|223283.9.peg.5484,PSPTO_5357,,fig|223283.9.peg.5484
fig|223283.9.peg.549,PSPTO_0539,,fig|223283.9.peg.549
